id,flag_tsunami,year,month,day,hour,minute,second,focal_depth,eq_primary,eq_mag_mw,eq_mag_ms,eq_mag_mb,eq_mag_ml,eq_mag_mfa,eq_mag_unk,intensity,country,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,houses_destroyed,houses_destroyed_description,houses_damaged,houses_damaged_description,total_deaths,total_deaths_description,total_missing,total_missing_description,total_injuries,total_injuries_description,total_damage_millions_dollars,total_damage_description,total_houses_destroyed,total_houses_destroyed_description,total_houses_damaged,total_houses_damaged_description
5792,,2004,7,18,8.0,31.0,45.8,10.0,5.2,5.2,4.8,5.1,,,,,AFGHANISTAN,,AFGHANISTAN: PAKTIA PROVINCE,33.426,69.524,40,2.0,1.0,,,40.0,1.0,,3.0,,3.0,,3.0,2.0,1.0,,,40.0,1.0,,3.0,,3.0,,
9870,,2012,2,6,3.0,49.0,12.5,11.0,6.7,6.7,6.6,6.3,,,,,PHILIPPINES,,PHILIPPINES:  NEGROS ORIENTAL PROVINCE,9.999,123.206,170,51.0,2.0,62.0,2.0,112.0,3.0,15.0,3.0,15000.0,4.0,,,51.0,2.0,62.0,2.0,112.0,3.0,15.0,3.0,15000.0,4.0,,
10199,,2016,9,12,11.0,33.0,17.0,13.0,5.4,5.4,,,,,,6.0,SOUTH KOREA,,SOUTH KOREA:  GYEONGJU,35.781,129.216,30,1.0,1.0,,,14.0,1.0,21.0,3.0,,,106.0,3.0,1.0,1.0,,,14.0,1.0,21.0,3.0,,,106.0,3.0
8256,,2008,12,25,20.0,20.0,51.5,35.0,4.7,,,4.7,,,,,MYANMAR (BURMA),,MYANMAR (BURMA),23.97,97.569,60,,,,,19.0,1.0,,3.0,30.0,1.0,30.0,1.0,,,,,19.0,1.0,,3.0,30.0,1.0,5400.0,4.0
10195,,2016,8,24,10.0,34.0,58.0,82.0,6.8,6.8,,,,,,5.0,MYANMAR (BURMA),,MYANMAR (BURMA): CHAUK,20.923,94.569,60,4.0,1.0,,,20.0,1.0,10.0,3.0,,,230.0,3.0,4.0,1.0,,,20.0,1.0,10.0,3.0,,,230.0,2.0
7457,Tsu,2007,4,1,20.0,39.0,56.3,24.0,8.1,8.1,7.9,6.8,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS,-8.466,157.043,170,2.0,1.0,,,,,,3.0,300.0,3.0,500.0,3.0,52.0,2.0,,,,,,3.0,2500.0,4.0,500.0,3.0
5649,Tsu,2002,9,8,18.0,44.0,25.5,13.0,7.6,7.6,7.8,6.5,,,,,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  KAIRIRU IS, MUSCHU IS, WEWAK",-3.26,142.94,170,4.0,1.0,,,70.0,2.0,,3.0,,1.0,873.0,3.0,4.0,1.0,,,70.0,2.0,,3.0,,1.0,873.0,3.0
5723,,2003,9,22,4.0,45.0,36.2,10.0,6.4,6.4,6.6,6.2,,,,10.0,DOMINICAN REPUBLIC,,"DOMINICAN REPUBLIC:  PUERTO PLATA, SANTIAGO",19.777,-70.673,90,3.0,1.0,,,15.0,1.0,,3.0,,3.0,,,3.0,1.0,,,15.0,1.0,,3.0,,3.0,,
5576,,2000,9,3,8.0,36.0,30.0,10.0,5.0,5.0,4.9,4.9,,,,7.0,USA,CA,CALIFORNIA:  NAPA,38.379,-122.413,150,,,,,41.0,1.0,50.0,4.0,,,,,,,,,41.0,1.0,50.0,4.0,,,,
5595,,2001,2,28,18.0,54.0,32.8,52.0,6.8,6.8,6.6,6.5,,,,8.0,USA,WA,"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA",47.149,-122.727,150,1.0,1.0,,,400.0,3.0,2000.0,4.0,,,,,1.0,1.0,,,400.0,3.0,2000.0,4.0,,,,
